drug,model,feature,importance
methicillin,RandomForest,arlS,0.022041361271044838
methicillin,RandomForest,rho,0.020979267789230722
methicillin,RandomForest,APH(3')-IIIa,0.0
methicillin,RandomForest,Erm(C),0.0
methicillin,RandomForest,BceA,0.0
methicillin,RandomForest,EF-Tu,0.0
methicillin,RandomForest,BceS,0.0
methicillin,RandomForest,MprF,0.0
methicillin,RandomForest,LiaS,0.0
methicillin,RandomForest,LiaR,0.0
methicillin,RandomForest,LiaF,0.0
methicillin,RandomForest,Iso-tRNA,0.0
methicillin,RandomForest,FosB,0.0
methicillin,RandomForest,ErmC,0.0
methicillin,RandomForest,PgsA,0.0
methicillin,RandomForest,TcaA,0.0
methicillin,RandomForest,TcaR,0.0
methicillin,RandomForest,aadD,0.0
methicillin,RandomForest,Tet(38),0.0
methicillin,RandomForest,alr1,0.0
methicillin,RandomForest,ant9,0.0
methicillin,RandomForest,aphA,0.0
methicillin,RandomForest,NorA,0.0
methicillin,RandomForest,arlR,0.0
methicillin,RandomForest,bceS,0.0
methicillin,RandomForest,blaI,0.0
methicillin,RandomForest,bcr,0.0
methicillin,RandomForest,blaI-1,0.0
methicillin,RandomForest,blaR1,0.0
methicillin,RandomForest,cls,0.0
methicillin,RandomForest,cls_2,0.0
methicillin,RandomForest,ddl,0.0
methicillin,RandomForest,dfrA,0.0
methicillin,RandomForest,ANT(9)-I,0.0
methicillin,RandomForest,BceB,0.0
methicillin,RandomForest,Ddl,0.0
methicillin,RandomForest,EF-G,0.0
methicillin,RandomForest,ANT(6)-I,0.0
methicillin,RandomForest,AAC(6')-Ie-APH(2'')-Ia,0.0
methicillin,RandomForest,fabI,0.0
methicillin,RandomForest,fabF,0.0
methicillin,RandomForest,ermC,0.0
methicillin,RandomForest,ermA,0.0
methicillin,RandomForest,dfrG,0.0
methicillin,RandomForest,dfrC,0.0
methicillin,RandomForest,fusA,0.0
methicillin,RandomForest,fosB2,0.0
methicillin,RandomForest,graR_1,0.0
methicillin,RandomForest,gyrA_1,0.0
methicillin,RandomForest,ileS,0.0
methicillin,RandomForest,"inhA, fabI",0.0
methicillin,RandomForest,kasA,0.0
methicillin,RandomForest,gidB,0.0
methicillin,RandomForest,graR,0.0
methicillin,RandomForest,folP,0.0
methicillin,RandomForest,mecA_1,0.0
methicillin,RandomForest,mecA_2,0.0
methicillin,RandomForest,mecI,0.0
methicillin,RandomForest,mecR1,0.0
methicillin,RandomForest,mepA,0.0
methicillin,RandomForest,mepR,0.0
methicillin,RandomForest,mgrA,0.0
methicillin,RandomForest,mprF,0.0
methicillin,RandomForest,murA,0.0
methicillin,RandomForest,murZ,0.0
methicillin,RandomForest,norA,0.0
methicillin,RandomForest,norB_1,0.0
methicillin,RandomForest,norB_2,0.0
methicillin,RandomForest,macB_1,0.0
methicillin,RandomForest,macB_2,0.0
methicillin,RandomForest,mecA,0.0
methicillin,RandomForest,norB_5,0.0
methicillin,RandomForest,norB_4,0.0
methicillin,RandomForest,norB_3,0.0
